date,plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count,control_projection_kwh
2025-02-01,58224.11369824841,43466.27131768089,0.0,17168.46999989918,13906.460699918334,5826.086085100074,6000.0,6000.000000000001,28954.325924587214,0.0,0.0,28954.325924587214,85.28908033583913,1.1368683772161603e-13,0,2.084554751036194e-12
2025-02-02,96283.86808890045,82247.08533639798,95.8072839460084,20982.182457757965,16995.56779078395,0.0,6000.000000000001,6000.0,69922.42801247127,0.0,616.1395064447029,70538.56751891597,44.911675119040304,1.1368683772161603e-13,0,3.410605131648481e-13
2025-02-03,99128.65509009956,84333.26409735816,114.97735537987239,22270.13134091955,18038.80638614483,0.0,6000.0,6000.000000000002,72882.45405663253,0.0,434.39299569904017,73316.84705233158,49.54116526899387,1.1368683772161603e-13,0,0.0
2025-02-04,101292.09722584425,85451.3713584356,42.78920978118947,22627.876936404115,18328.580318487337,0.0,6000.000000000002,6000.0,75424.55717449634,0.0,105.79297984746482,75530.3501543438,55.713632934026855,1.1368683772161603e-13,0,0.0
2025-02-05,96201.89864974888,84869.32149083557,161.2476504909556,22526.78767836958,18246.698019479365,2.052500000000009,6000.0,6000.0,70791.689747676,0.0,746.0252411968966,71537.7149888729,32.243528315608174,1.1368683772161603e-13,0,6.0822458181064576e-12
2025-02-06,102035.8666100433,84702.65733899525,62.010676584037924,23650.58316373145,19156.972362622473,0.0,6000.0,6000.000000000001,75391.41761678144,0.0,205.4582553986828,75596.87587218013,65.66397752015895,1.1368683772161603e-13,0,79.71460041893658
2025-02-07,60720.99994938434,43261.5285628336,0.0,19056.239082825392,15435.553657088572,7835.163470056441,6000.000000000001,6000.000000000002,30116.90168251424,0.0,0.0,30116.90168251424,118.08162710877923,1.1368683772161603e-13,0,10.014386169004887
2025-02-08,52848.69386021096,40409.90430888453,0.0,18836.45729442654,15257.530408485502,5253.814706006791,6000.000000000002,6000.000000000001,25399.007431434096,0.0,0.0,25399.007431434096,67.29148954476607,5.684341886080802e-14,0,1.0231815394945443e-12
2025-02-09,96993.4461951736,83576.69266970616,2.3316694982951276,21176.886166356802,17153.27779474901,0.0,6000.000000000001,6000.000000000002,71196.4747874428,0.0,14.468009236921269,71210.94279667972,40.975985063407585,1.1368683772161603e-13,0,0.0
2025-02-10,92844.66506575202,78522.36906321709,139.52899810055612,22147.001205023073,17939.070976068688,127.33024999999975,6000.000000000002,6000.0,65333.303778779795,0.0,676.3918201929018,66009.6955989727,45.434069388732674,1.1368683772161603e-13,0,3.410605131648481e-13
