date,plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count,control_projection_kwh
2025-02-01,60254.93686182592,43531.43447240334,0.0,17798.19255051129,14416.535965914145,5771.601955206229,6000.0,6000.0,36020.25622141658,0.0,0.0,36020.25622141658,133.1832774430485,1.1368683772161603e-13,0,197.47594484917403
2025-02-02,95629.22969078945,82679.73099457569,17.990374427464758,22849.70218754304,18508.258771909866,0.0,6000.0,6000.0,61999.51257851881,0.0,90.57658257522871,62090.08916109404,65.42936132831139,1.1368683772161603e-13,0,35.56513967988647
2025-02-03,93651.02680557128,84427.98143180956,36.48915624797996,22355.54784260111,18107.993752506896,0.0,6000.0,6000.000000000004,60651.94141623382,0.0,88.9127206062058,60740.854136840026,42.37877302833699,1.1368683772161603e-13,0,0.0
2025-02-04,93267.71394807688,85307.74586227654,123.21483189765317,22295.24602039044,18059.149276516262,0.0,6000.000000000004,6000.000000000002,60582.777974333265,0.0,377.2598507078161,60960.03782504108,36.49606098825404,1.1368683772161603e-13,0,0.0
2025-02-05,93701.90310841247,84921.6954978108,145.43459776758874,22719.213753379452,18402.563140237362,2.052500000000009,6000.000000000002,6000.000000000002,60931.91312378441,0.0,541.0849762396124,61472.99810002402,40.157487122419305,1.1368683772161603e-13,0,0.0
2025-02-06,94080.95611643324,84406.64917295326,173.85767764882746,22681.313874377687,18371.86423824593,0.0,6000.000000000002,6000.0,61075.46095662169,0.0,585.7980400240336,61661.25899664572,45.17804346759811,1.1368683772161603e-13,0,2.6645352591003757e-13
2025-02-07,60733.939419797076,42482.62902554788,0.0,17889.490209737414,14490.487069887306,7277.9462186574465,6000.0,6000.000000000002,36510.87546541697,0.0,0.0,36510.87546541697,154.0230386347977,1.1368683772161603e-13,0,106.11030430309566
2025-02-08,60360.00917458638,41877.0234320716,0.0,17621.621772384897,14273.51363563177,6951.752578381768,6000.000000000002,6000.0,36441.576328227995,0.0,0.0,36441.576328227995,153.53657909189837,1.1368683772161603e-13,0,328.4060780612251
2025-02-09,92383.8038945424,83383.34000997839,315.7727284242649,21808.930372663097,17665.23360185711,0.0,6000.0,6000.0,59884.85977587933,0.0,1065.462982721608,60950.32275860094,42.31376418253191,1.1368683772161603e-13,0,3.524291969370097e-12
2025-02-10,91367.41536138848,78428.23163091531,157.34903614925838,21745.330708954207,17613.717874252907,127.33024999999975,6000.0,6000.0,59190.25151561338,0.0,727.6829607735021,59917.93447638689,70.00237180423063,1.1368683772161603e-13,0,45.621380968038096
2025-02-11,91039.0517571358,79390.1347104073,132.25172444643943,21788.063173124996,17648.33117023125,162.05729900000017,6000.0,6000.0,58785.132344931335,0.0,720.0936825772867,59505.22602750862,58.87329492431387,1.1368683772161603e-13,0,4.320099833421409e-12
2025-02-12,91065.95569926861,79377.55628118699,89.8327373016275,21798.386584834756,17656.69313371615,58.959433999999874,6000.0,6000.0,58905.51836986012,0.0,531.2805068307928,59436.79887669091,58.344247475379966,1.1368683772161603e-13,0,2.3874235921539366e-12
2025-02-13,90900.46626860766,75593.84390771866,66.91169824654241,21510.964502974944,17423.881247409707,244.19333400000005,6000.0,6000.0,58838.77577930744,0.0,276.55523202125727,59115.3310113287,84.56655577796015,1.1368683772161603e-13,0,369.5019976286188
2025-02-14,60662.68497586789,41196.73537820006,0.0,17618.6185085178,14255.591638536582,8031.906691548866,6000.0,6017.210392625372,36650.70441912159,0.0,0.0,36650.70441912159,165.2560029214707,1.1368683772161603e-13,0,506.4100111867931
2025-02-15,59710.16705754821,41073.13909554732,0.0,17286.23658883707,13997.508462910013,8504.319870823623,6017.210392625372,6022.0361415676125,36206.91232535996,0.0,0.0,36206.91232535996,164.42880102689847,1.1368683772161603e-13,0,503.58226106844637
2025-02-16,88491.53488059645,79148.70827207343,260.3188548798247,21162.849406986854,17161.740547070203,30.539167000000134,6022.0361415676125,6000.0,57265.57097979634,0.0,1106.041897903212,58371.612877699554,46.80030937537127,1.1368683772161603e-13,0,9.094947017729282e-13
2025-02-17,87113.85294065435,75400.01946333118,227.7723799526425,20855.338028862054,16892.82380337826,481.4144500000002,6000.0,6000.0,56201.384756528816,0.0,1055.9705403691378,57257.35529689796,64.71493912893075,1.1368683772161603e-13,0,3.410605131648481e-13
2025-02-18,86481.59559166514,76029.03052377538,123.64462425536135,20730.6101706899,16791.794238258815,122.47143400000004,6000.0,6000.000000000002,55829.81544040533,0.0,496.13072875454054,56325.94616915987,52.412386474924716,1.1368683772161603e-13,0,17.096522163781096
2025-02-19,87172.80777730196,76679.50297927165,317.07537021309486,20789.514478235546,16839.506727370797,167.24321600000007,6000.000000000002,6000.0,56273.08611481133,0.0,961.0094223014424,57234.09553711278,56.45354356051397,1.1368683772161603e-13,0,0.0
2025-02-20,87224.9835990973,75262.31721846634,106.39982303825605,20967.204329673463,16983.4355070355,391.8144840000002,6000.0,6000.0,56298.786644406624,0.0,427.4674036924481,56726.25404809907,65.0804483872798,1.1368683772161603e-13,0,1.9895196601282805e-12
2025-02-21,60263.21762393569,39556.858897966886,0.0,17152.86731546647,13777.030102143144,10620.759652366864,6000.0,6129.769359316329,36588.408705965674,0.0,0.0,36588.408705965674,193.9105617296199,1.1368683772161603e-13,0,760.4592095933948
2025-02-22,59147.80270057931,39357.070182623065,0.0,17192.55926150998,14019.322906755511,8339.070943171871,6129.769359316329,6026.047242724749,36142.582300352915,0.0,0.0,36142.582300352915,171.36919677485145,1.1368683772161603e-13,0,612.3444939328319
2025-02-23,86092.64669598971,75768.08150783998,129.9196107316783,20670.718539809975,16766.724535698355,462.1534330000004,6026.047242724749,6000.000000000003,55591.17717871409,0.0,516.3917084500677,56107.568887164154,56.86421209198146,1.1368683772161603e-13,0,0.0
2025-02-24,84374.78135223963,72913.58615546543,173.21188731190625,20675.605236193005,16747.240241316336,955.399432,6000.000000000003,6000.000000000003,54222.56620702495,0.0,731.9077676978814,54954.47397472283,65.95102678942663,1.1368683772161603e-13,0,0.0
2025-02-25,83752.09511575071,70947.4155301527,226.5051530136866,20666.66666666666,16740.0,1425.9307839999994,6000.000000000003,6000.0,53898.53815244761,0.0,1009.1191598993894,54907.657312347,80.28771200666728,1.1368683772161603e-13,0,1.8189894035458565e-12
2025-02-26,83587.80443925697,73335.94763667292,164.75349403104303,20666.666666666664,16739.999999999993,759.1864319999999,6000.0,6000.000000000003,53670.25048440376,0.0,722.2172497604217,54392.46773416418,56.50141773557329,1.1368683772161603e-13,0,1.9326762412674725e-12
2025-02-27,83560.61571349743,71883.61042377334,172.8707089302941,20666.66666666666,16740.0,1173.230267,6000.000000000003,6000.000000000001,53636.22463679804,0.0,765.5094832196803,54401.73412001772,68.20424844571829,1.1368683772161603e-13,0,0.0
2025-02-28,58207.25608576045,38090.79851699811,0.0,17116.274515176836,13780.160949508288,11462.091403089828,6000.000000000001,6093.3571197610545,35629.275387776,0.0,0.0,35629.275387776,196.51816284403654,5.684341886080802e-14,0,1008.56428718483
2025-03-01,57130.6215253867,36900.017058012294,0.0,16299.118126027719,13175.91802605654,10118.05102470444,6093.3571197610545,6122.6545153454035,35212.649457444786,0.0,0.0,35212.649457444786,187.28420438059518,1.1368683772161603e-13,0,1184.7562648196117
