date,plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count,control_projection_kwh
2025-02-01,58224.11369824841,47124.718509402745,112.92306525468683,14452.975303460335,11706.909995802871,10113.4003344,6000.0,6000.000000000004,28954.325924587214,0.0,434.4949007594738,29388.820825346687,85.28908033583913,1.1368683772161603e-13,0,0.0
2025-02-02,96283.86808890045,81576.6980707549,439.6654523858033,19197.201246161792,15549.733009391062,12.617333000000144,6000.000000000004,5999.999999999999,69922.42801247127,0.0,2760.3532309482453,72682.78124341951,44.911675119040304,1.1368683772161603e-13,0,0.0
2025-02-03,99128.65509009956,83415.30677836548,587.3982994533765,19620.69673608179,15892.764356226256,57.856199999999944,5999.999999999999,5999.9999999999945,72882.45405663253,0.0,3338.3677061800295,76220.82176281256,49.54116526899387,1.1368683772161603e-13,0,8.242295734817162e-13
2025-02-04,101292.09722584425,84503.09558192536,633.0697804561279,19963.415674112966,16170.366696031497,148.25243399999977,5999.9999999999945,6000.000000000001,75424.55717449634,0.0,3145.5265265727367,78570.08370106907,55.713632934026855,1.1368683772161603e-13,0,0.0
2025-02-05,96201.89864974888,84804.62327016293,106.01959609036612,21906.3993885106,17744.183504693585,0.0,6000.000000000001,6000.000000000001,70791.689747676,0.0,559.8440912171568,71351.53383889316,32.243528315608174,1.1368683772161603e-13,0,2.4158453015843406e-13
2025-02-06,102035.8666100433,83950.29673583005,296.4551322671774,20924.708703299435,16949.014049672543,0.0,6000.000000000001,6000.000000000002,75391.41761678144,0.0,1887.7150138470654,77279.1326306285,65.66397752015895,1.1368683772161603e-13,0,0.0
2025-02-07,60720.999949384335,46303.27688581471,60.33975880678787,16439.589781101295,13316.067722692056,11434.414919171923,6000.000000000002,6000.0,30116.90168251424,0.0,324.95409363027386,30441.85577614451,118.08162710877923,1.1368683772161603e-13,0,0.0
2025-02-08,52848.693860210966,42161.37776853182,87.53876448607187,16190.573350888746,13114.364414219883,7595.54487941233,6000.0,6000.000000000001,25399.007431434096,0.0,490.71527190847235,25889.72270334257,67.29148954476607,5.684341886080802e-14,0,0.0
2025-02-09,96993.4461951736,83034.19888590787,71.38789352870253,18685.109535999512,15134.938724159603,0.0,6000.000000000001,6000.000000000001,71196.4747874428,0.0,453.564937815322,71650.03972525812,40.975985063407585,1.1368683772161603e-13,0,0.0
2025-02-10,92844.66506575202,78399.26536198043,397.7656528748886,20303.906049958194,16446.16390046614,612.6512830000001,6000.000000000001,6000.0,65333.303778779795,0.0,2231.216902375453,67564.52068115525,45.434069388732674,1.1368683772161603e-13,0,0.0
