model,days,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,max_balance_residual_kwh,minimum_storage_kwh,maximum_storage_kwh,accepted_gate_count
Q2,334,15706243.9639928,0.0,993419.6384302786,16699663.60242308,24164317.007242292,255870.78508481703,5593055.688541605,4530375.107718701,1.1368683772161603e-13,1200.0,10800.0,0
Q3,334,15494545.403298078,382651.5020764924,505639.27307976235,16382836.178454332,24026842.762961306,136628.1355360736,5615742.843213694,4548751.703003092,2.2737367544323206e-13,1200.0,10800.0,665
Q4-2,334,16168563.230850818,0.0,1055616.8532138309,17224180.084064648,24222370.259094182,252728.26669686334,5947416.319151854,4817407.218513002,1.1368683772161603e-13,1200.0,10800.0,0
Q4-3,334,16021082.19820261,410730.0753199122,537884.0388590973,16969696.312381618,24086595.62652631,138537.36255696506,5945196.1822957,4815608.907659518,2.2737367544323206e-13,1200.0,10800.0,675
Q3-no-update,334,15490954.863401376,0.0,1015368.092303022,16506322.955704398,24018452.885407127,257325.84858415578,5792624.285802084,4692025.671499688,1.1368683772161603e-13,1200.0,10800.0,0
Q4-3-no-update,334,16017970.917486416,0.0,1086037.8763270741,17104008.79381349,24078989.50913377,255907.2630305132,6139164.623954751,4972723.345403349,1.1368683772161603e-13,1200.0,10800.0,0
