model,date,release_time,kind,objective_yuan,residual,milp,mip_gap,latest_source_date,scenario_count
Q2,2025-03-25,00:00,selected,54497.82187525099,3.637978807091713e-11,False,0.0,2025-03-20,8
Q2,2025-03-26,00:00,selected,54725.47441423851,2.9103830456733704e-11,False,0.0,2025-03-25,8
Q2,2025-03-27,00:00,selected,53811.599180836085,5.093170329928398e-11,False,0.0,2025-03-25,8
Q2,2025-03-28,00:00,selected,33041.12416759282,1.6370904631912708e-11,False,0.0,2025-03-27,8
Q2,2025-03-29,00:00,selected,33232.445762204676,3.637978807091713e-12,False,0.0,2025-03-27,8
Q2,2025-03-30,00:00,selected,51797.22511705429,2.9103830456733704e-11,False,0.0,2025-03-29,8
Q2,2025-03-31,00:00,selected,52484.50767731182,2.9103830456733704e-11,False,0.0,2025-03-29,8
Q2,2025-04-01,00:00,selected,51236.41821575865,1.4551915228366852e-11,False,0.0,2025-03-31,8
Q2,2025-04-02,00:00,selected,51374.905369667176,4.3655745685100555e-11,False,0.0,2025-04-01,8
Q2,2025-04-03,00:00,selected,54206.81039114396,1.4551915228366852e-11,False,0.0,2025-04-02,8
Q2,2025-04-04,00:00,selected,32439.942820064553,7.275957614183426e-12,False,0.0,2025-04-02,8
Q2,2025-04-05,00:00,selected,32010.55236448817,1.4551915228366852e-11,False,0.0,2025-04-02,8
Q2,2025-04-06,00:00,selected,53193.18971296379,1.4551915228366852e-11,False,0.0,2025-04-02,8
Q2,2025-04-07,00:00,selected,52886.927928780366,3.637978807091713e-11,False,0.0,2025-04-02,8
Q2,2025-04-08,00:00,selected,52924.45884841337,4.3655745685100555e-11,False,0.0,2025-04-02,8
Q2,2025-04-09,00:00,selected,52405.958058571516,2.9103830456733704e-11,False,0.0,2025-04-02,8
Q2,2025-04-10,00:00,selected,52470.465307750324,1.4551915228366852e-11,False,0.0,2025-04-02,8
Q2,2025-04-11,00:00,selected,30369.73895584519,7.275957614183426e-12,False,0.0,2025-04-02,8
Q2,2025-04-12,00:00,selected,30634.152735696174,7.275957614183426e-12,False,0.0,2025-04-11,8
Q2,2025-04-13,00:00,selected,52238.08585658175,1.4551915228366852e-11,False,0.0,2025-04-11,8
Q2,2025-04-14,00:00,selected,51425.646993975635,5.093170329928398e-11,False,0.0,2025-04-13,8
Q2,2025-04-15,00:00,selected,51173.65592595512,2.9103830456733704e-11,False,0.0,2025-04-14,8
Q2,2025-04-16,00:00,selected,50649.547390365486,1.4551915228366852e-11,False,0.0,2025-04-14,8
Q2,2025-04-17,00:00,selected,50345.41555854148,2.9103830456733704e-11,False,0.0,2025-04-14,8
Q2,2025-04-18,00:00,selected,28350.808054175006,1.8189894035458565e-11,False,0.0,2025-04-14,8
Q2,2025-04-19,00:00,selected,28517.575792277927,1.4551915228366852e-11,False,0.0,2025-04-18,8
Q2,2025-04-20,00:00,selected,49649.62615784087,2.1827872842550278e-11,False,0.0,2025-04-18,8
Q2,2025-04-21,00:00,selected,48824.111006039384,2.9103830456733704e-11,False,0.0,2025-04-18,8
Q2,2025-04-22,00:00,selected,49194.111060827134,1.1368683772161603e-11,False,0.0,2025-04-21,8
Q2,2025-04-23,00:00,selected,49255.817320387265,2.1827872842550278e-11,False,0.0,2025-04-21,8
Q2,2025-04-24,00:00,selected,48721.3227445163,2.1827872842550278e-11,False,0.0,2025-04-21,8
Q2,2025-04-25,00:00,selected,26999.701404932715,1.4551915228366852e-11,False,0.0,2025-04-21,8
Q2,2025-04-26,00:00,selected,27013.564367493447,7.275957614183426e-12,False,0.0,2025-04-21,8
Q2,2025-04-27,00:00,selected,46945.010057892156,2.9103830456733704e-11,False,0.0,2025-04-21,8
Q2,2025-04-28,00:00,selected,46132.35628352822,3.637978807091713e-11,False,0.0,2025-04-21,8
Q2,2025-04-29,00:00,selected,48747.26311124278,1.4551915228366852e-11,False,0.0,2025-04-28,8
Q2,2025-04-30,00:00,selected,48171.55515751181,1.4551915228366852e-11,False,0.0,2025-04-28,8
Q2,2025-05-01,00:00,selected,47433.81491590541,2.9103830456733704e-11,False,0.0,2025-04-28,8
Q2,2025-05-02,00:00,selected,28511.287149983782,7.275957614183426e-12,False,0.0,2025-05-01,8
Q2,2025-05-03,00:00,selected,28966.46963645583,4.320099833421409e-12,False,0.0,2025-05-02,8
Q2,2025-05-04,00:00,selected,48470.52519305078,3.637978807091713e-11,False,0.0,2025-05-03,8
Q2,2025-05-05,00:00,selected,47997.331018606295,2.1827872842550278e-11,False,0.0,2025-05-04,8
Q2,2025-05-06,00:00,selected,50345.671376881466,1.4551915228366852e-11,False,0.0,2025-05-05,8
Q2,2025-05-07,00:00,selected,51196.0226581052,1.4551915228366852e-11,False,0.0,2025-05-05,8
Q2,2025-05-08,00:00,selected,52034.96040746463,2.9103830456733704e-11,False,0.0,2025-05-05,8
Q2,2025-05-09,00:00,selected,30227.067849487965,4.547473508864641e-12,False,0.0,2025-05-05,8
Q2,2025-05-10,00:00,selected,30044.52334452881,1.4551915228366852e-11,False,0.0,2025-05-05,8
Q2,2025-05-11,00:00,selected,51098.311179222605,2.1827872842550278e-11,False,0.0,2025-05-05,8
Q2,2025-05-12,00:00,selected,51325.00739381107,2.9103830456733704e-11,False,0.0,2025-05-05,8
Q2,2025-05-13,00:00,selected,51511.494064893,1.4551915228366852e-11,False,0.0,2025-05-05,8
Q2,2025-05-14,00:00,selected,51974.67832120207,1.4551915228366852e-11,False,0.0,2025-05-05,8
Q2,2025-05-15,00:00,selected,51645.64810839541,3.637978807091713e-11,False,0.0,2025-05-05,8
Q2,2025-05-16,00:00,selected,28870.813005959444,4.547473508864641e-12,False,0.0,2025-05-05,8
Q2,2025-05-17,00:00,selected,28380.270130648547,7.275957614183426e-12,False,0.0,2025-05-16,8
Q2,2025-05-18,00:00,selected,50913.13628244302,1.4551915228366852e-11,False,0.0,2025-05-16,8
Q2,2025-05-19,00:00,selected,50831.66019717682,3.637978807091713e-11,False,0.0,2025-05-16,8
Q2,2025-05-20,00:00,selected,50488.988463515045,1.4551915228366852e-11,False,0.0,2025-05-16,8
Q2,2025-05-21,00:00,selected,50854.89531545306,2.9103830456733704e-11,False,0.0,2025-05-16,8
Q2,2025-05-22,00:00,selected,50567.04851802198,2.1827872842550278e-11,False,0.0,2025-05-16,8
Q2,2025-05-23,00:00,selected,28232.90978144795,1.4551915228366852e-11,False,0.0,2025-05-16,8
Q2,2025-05-24,00:00,selected,28223.984678639863,3.637978807091713e-12,False,0.0,2025-05-16,8
Q2,2025-05-25,00:00,selected,49722.82495550332,2.1827872842550278e-11,False,0.0,2025-05-05,8
Q2,2025-05-26,00:00,selected,49258.7511899703,3.637978807091713e-11,False,0.0,2025-05-05,8
Q2,2025-05-27,00:00,selected,49728.39983830487,2.9103830456733704e-11,False,0.0,2025-05-05,8
Q2,2025-05-28,00:00,selected,49973.48843983713,7.275957614183426e-12,False,0.0,2025-05-05,8
Q2,2025-05-29,00:00,selected,49664.93642304944,2.9103830456733704e-11,False,0.0,2025-05-28,8
Q2,2025-05-30,00:00,selected,28067.90546362232,1.0913936421275139e-11,False,0.0,2025-05-28,8
Q2,2025-05-31,00:00,selected,27276.911184991353,1.0345502232667059e-11,False,0.0,2025-05-30,8
Q2,2025-06-01,00:00,selected,49165.25085088913,2.1827872842550278e-11,False,0.0,2025-05-30,8
Q2,2025-06-02,00:00,selected,60195.13450408195,3.637978807091713e-11,False,0.0,2025-06-01,8
Q2,2025-06-03,00:00,selected,61736.656689075055,3.637978807091713e-11,False,0.0,2025-06-02,8
Q2,2025-06-04,00:00,selected,64012.69700041269,2.1827872842550278e-11,False,0.0,2025-06-02,8
