date,plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count,control_projection_kwh
2025-02-01,58208.533168166454,43320.754646935966,0.0,17168.46999989918,13906.460699918334,5680.569414355152,6000.0,6000.000000000001,35169.86055954791,0.0,0.0,35169.86055954791,85.28908033583913,1.1368683772161603e-13,0,6.306066779870889e-14
2025-02-02,96294.11727047672,82245.81292353335,97.0796968106373,20982.182457757965,16995.56779078395,0.0,6000.000000000001,6000.0,63494.68080484486,0.0,591.3304882295965,64086.01129307446,44.911675119040304,1.1368683772161603e-13,0,0.0
2025-02-03,98996.48925754357,84221.70092029995,103.57119148051265,21622.924283248132,17514.56866943099,0.0,6000.0,6000.0,65200.85554488679,0.0,357.8161032805368,65558.67164816734,49.54116526899387,1.1368683772161603e-13,0,7.958078640513122e-13
2025-02-04,101250.14300435243,85395.40807385216,42.78920978118947,22333.33333333333,18090.0,0.0,6000.0,6000.000000000002,66976.07194385189,0.0,101.77198025181124,67077.8439241037,55.713632934026855,1.1368683772161603e-13,0,0.0
2025-02-05,96056.16857487979,84685.91794369218,161.2476504909556,21561.505851299196,17464.819739552353,2.052500000000009,6000.000000000002,6000.000000000002,63331.87368746301,0.0,673.2916288188546,64005.16531628187,32.243528315608174,1.1368683772161603e-13,0,3.979039320256561e-12
2025-02-06,101828.13324511348,84456.63638872899,67.82995932035317,22386.36386094218,18132.95472736317,0.0,6000.000000000002,6000.000000000001,67250.7755127095,0.0,252.0287773207065,67502.80429003021,65.66397752015895,1.1368683772161603e-13,0,79.7146004189365
2025-02-07,60247.670304218416,43089.14962485708,0.0,16759.493880308546,13575.190043049924,8099.1661205581195,6000.000000000001,6000.0,36697.2226363187,0.0,0.0,36697.2226363187,118.08162710877923,1.1368683772161603e-13,0,10.014386169005853
2025-02-08,52503.469688980505,40683.08828506526,0.0,17023.14178029166,13788.744842036242,5871.5286298731435,6000.0,6000.000000000001,31282.65081365875,0.0,0.0,31282.65081365875,67.29148954476607,1.1368683772161603e-13,0,0.0
2025-02-09,97023.60499391337,83608.35933637281,2.3316694982951276,21343.552833023467,17288.27779474901,0.0,6000.000000000001,6000.000000000002,63892.379660904015,0.0,14.511145122639725,63906.890806026655,40.975985063407585,1.1368683772161603e-13,0,1.9326762412674725e-12
2025-02-10,92592.58493744541,78269.03572988376,139.52899810055612,20813.667871689737,16859.070976068688,127.33024999999975,6000.000000000002,6000.0,60858.00596117758,0.0,667.2633185571475,61525.269279734726,45.434069388732674,1.1368683772161603e-13,0,3.410605131648481e-13
2025-02-11,93561.43528814387,79394.16154356657,64.28343713581205,21451.529203907274,17375.73865516489,162.05729900000017,6000.0,6000.0,61763.0222429092,0.0,256.4627190820781,62019.48496199128,49.37051601448232,1.1368683772161603e-13,0,3.410605131648481e-13
2025-02-12,93716.55009213058,79160.7497089737,145.848861451934,20952.121068713786,16971.218065658166,58.959433999999874,6000.0,6000.000000000002,61734.74468603502,0.0,606.4840374191126,62341.22872345413,46.554766198233935,1.1368683772161603e-13,0,0.0
2025-02-13,88831.9848703822,75425.76358600124,74.57543106538992,20666.666666666664,16740.0,244.19333400000005,6000.000000000002,6000.000000000002,57741.83153362163,0.0,351.6580529557041,58093.489586577336,41.785943052090296,1.1368683772161603e-13,0,0.0
2025-02-14,55780.61814951045,41010.632537010635,0.0,17052.889126934977,13812.840192817333,7968.7817862230195,6000.000000000002,6000.0,33462.525854287924,0.0,0.0,33462.525854287924,100.21498451065112,1.1368683772161603e-13,0,13.865266048143091
2025-02-15,55460.22137225133,42162.447059593724,0.0,15959.658218933637,12927.323157336246,9850.020899199695,6000.0,6000.0,32634.66600557902,0.0,0.0,32634.66600557902,113.25882761512239,1.1368683772161603e-13,0,5.115907697472721e-13
2025-02-16,92678.92860401358,79189.21607458341,213.6997198482405,21026.30277576342,17031.305248368368,30.539167000000134,6000.0,6000.000000000002,60618.04694540051,0.0,988.1983340600938,61606.2452794606,50.521260517793685,1.1368683772161603e-13,0,0.0
2025-02-17,92607.65297211573,75276.14870125894,325.45889722413995,20717.526214121288,16781.19623343824,481.4144500000002,6000.000000000002,6000.000000000001,59994.50924952552,0.0,1471.993006248689,61466.50225577421,80.18680830580755,1.1368683772161603e-13,0,0.0
2025-02-18,82897.82405398064,75594.08744756837,546.4384346979678,20666.666666666664,16740.0,122.47143400000004,6000.000000000001,6000.000000000003,53627.85528540512,0.0,1999.950502022789,55627.80578742791,40.239292295353295,1.1368683772161603e-13,0,0.0
2025-02-19,84915.1396470727,76665.43366957261,316.56336654884797,20712.770723691938,16777.344286190473,167.24321600000007,6000.000000000003,6000.0,55302.91025435052,0.0,1250.6417907471507,56553.55204509767,24.788521530636675,1.1368683772161603e-13,0,0.0
2025-02-20,88326.07513364794,75136.08491646207,175.52996907122542,20666.666666666664,16740.0,391.8144840000002,6000.0,6000.0,57179.95673842428,0.0,711.7787468615176,57891.7354852858,47.508405327391316,1.1368683772161603e-13,0,1.1368683772161603e-13
2025-02-21,51141.53482082396,39157.53204960793,0.0,16447.62479892993,13322.576087133244,10472.221305534538,6000.0,6000.000000000002,30410.684269119043,0.0,0.0,30410.684269119043,103.09862140016769,1.1368683772161603e-13,0,0.0
2025-02-22,51594.48648180418,39986.31991539418,23.365295731820993,16057.44469438995,13006.530202455862,9114.007834495189,6000.000000000002,6000.000000000002,30424.51664336409,0.0,49.95500227463328,30474.471645638725,97.53588691835388,1.1368683772161603e-13,0,2.8919089345436078e-12
2025-02-23,86006.28254193357,75543.89781148298,332.302129822942,20432.593825504686,16550.4009986588,462.1534330000004,6000.000000000002,6000.000000000002,55775.55327036779,0.0,1445.9027684136922,57221.45603878148,39.484101868025746,1.1368683772161603e-13,0,0.0
