date,scenario_limit,actual_scenarios,radius,risk_weight,unknown_price,risk_objective_yuan,realized_snapshot_cost_yuan,emergency_kwh,solve_seconds,storage_end_kwh,max_lp_residual
2025-02-01,8,8,0.15,0.2,False,34876.21131743097,28954.325924587214,0.0,0.04867299999750685,6000.000000000001,1.0913936421275139e-11
2025-02-01,16,16,0.15,0.2,False,35384.49258844485,28069.836106083254,0.0,0.13640229999145959,6000.000000000001,7.275957614183426e-12
2025-02-01,32,24,0.15,0.2,False,35391.15543970933,27968.072368617286,0.0,0.2968113000097219,6000.000000000002,2.546585164964199e-11
2025-02-01,8,8,0.0,0.2,False,34412.71076012202,27804.294588279463,27.378576842675898,0.044943599990801886,6000.000000000001,1.8189894035458565e-11
2025-02-01,8,8,0.3,0.2,False,34880.200865864004,29006.636296463468,0.0,0.04753329999221023,6000.000000000001,1.4551915228366852e-11
2025-02-01,8,8,0.15,0.0,False,29026.755462311303,28266.448985086765,20.888744979997682,0.049305499996989965,6000.000000000001,1.8189894035458565e-11
2025-02-01,8,8,0.15,0.5,False,43598.8355321858,28971.681021795896,0.0,0.04342190000170376,6000.000000000001,7.275957614183426e-12
2025-02-01,8,8,0.15,0.2,True,40343.21004432859,28130.123455256013,0.0,0.05375439999625087,6000.0,2.1827872842550278e-11
2025-03-20,8,8,0.15,0.2,False,59519.90269962445,52920.88346976301,913.1995215945251,0.05413679999765009,6000.0,2.637534635141492e-11
2025-03-20,16,16,0.15,0.2,False,60185.11368026174,51832.18805928024,885.9030771414132,0.11461509999935515,6000.000000000002,3.637978807091713e-11
2025-03-20,32,32,0.15,0.2,False,60183.41939443556,50673.73814955912,645.7404942053302,0.34058780000486877,6000.0,4.3655745685100555e-11
2025-03-20,8,8,0.0,0.2,False,58095.900032458114,57384.16925707304,2631.6253679791917,0.05001770000671968,6000.0,1.4551915228366852e-11
2025-03-20,8,8,0.3,0.2,False,59712.28854426154,52622.60097070286,714.2728601941103,0.050779099998180754,6000.0,1.602984411874786e-11
2025-03-20,8,8,0.15,0.0,False,48970.05093745977,52336.71623250985,1512.7397236621284,0.061004399991361424,6000.0,2.9103830456733704e-11
2025-03-20,8,8,0.15,0.5,False,74586.28652806817,52399.90120844852,684.8196805802687,0.05042080000566784,6000.0,7.275957614183426e-12
2025-03-20,8,8,0.15,0.2,True,56616.80010168383,51203.21511689247,1039.3717911662304,0.060439900000346825,6000.0,2.9103830456733704e-11
2025-09-01,8,8,0.15,0.2,False,77407.56310625328,62965.80874697091,0.0,0.050592300001881085,6292.294503933787,2.9103830456733704e-11
2025-09-01,16,16,0.15,0.2,False,77990.23135648556,61922.822697053896,0.0,0.11718839999230113,6270.189311910041,5.820766091346741e-11
2025-09-01,32,32,0.15,0.2,False,78779.99390624612,62464.42711320642,0.0,0.35868039999331813,6232.897477952515,7.275957614183426e-11
2025-09-01,8,8,0.0,0.2,False,76141.99068093835,59295.72932557538,0.0,0.04569230000197422,6292.294503933787,4.3655745685100555e-11
2025-09-01,8,8,0.3,0.2,False,77763.03807864938,63131.48536522039,0.0,0.049656899995170534,6292.294503933787,4.3655745685100555e-11
2025-09-01,8,8,0.15,0.0,False,64165.19107051661,62819.24682474434,0.0,0.0495915000064997,6292.294503933787,4.490630090003833e-11
2025-09-01,8,8,0.15,0.5,False,97046.2557827298,63187.3672540589,0.0,0.04803580000589136,6292.294503933787,1.5006662579253316e-11
2025-09-01,8,8,0.15,0.2,True,87888.1852362872,64642.4874357779,0.0,0.04826949999551289,6365.528164030985,4.3655745685100555e-11
