model,date,release_time,accepted,expected_saving_yuan,bootstrap_lower_yuan,threshold_yuan,old_tail_emergency_kwh,new_tail_emergency_kwh,reason
Q3,2025-02-01,06:00,False,0.0,0.0,24.408283143088006,0.0,0.0,keep
Q3,2025-02-01,12:00,False,-20.36234172065815,-23.646590385280433,19.79522147647999,0.0,0.0,keep
Q3,2025-02-01,18:00,False,8.906163826377297,-5.720741812831908,10.736922017539195,8.578911343277525,9.765083025862054,keep
Q3,2025-02-02,06:00,False,0.0,0.0,50.61535899720214,1.1368683772161603e-12,1.1368683772161603e-12,keep
Q3,2025-02-02,12:00,False,0.0,0.0,36.20477323684012,79.99745128155865,79.99745128155865,keep
Q3,2025-02-02,18:00,False,-7.275957614183426e-14,-2.2737367544323206e-13,14.96835306790406,83.90385056379176,83.90385056379176,keep
Q3,2025-02-03,06:00,False,8.395335708673184e-13,0.0,52.22324860928208,1.1368683772161603e-12,0.0,keep
Q3,2025-02-03,12:00,False,0.0,0.0,37.33318122705511,22.466098767034396,22.466098767034396,keep
Q3,2025-02-03,18:00,False,3.1610754866291098,-1.5669743838166252,14.917391290251684,82.32790451871631,82.38268450023395,keep
Q3,2025-02-04,06:00,False,-47.293036437569135,-62.79895002365811,53.973538560546885,0.0,0.0,keep
Q3,2025-02-04,12:00,False,0.0,0.0,38.862822023344826,0.0,0.0,keep
Q3,2025-02-04,18:00,False,0.0,0.0,14.887237125352959,77.62904982864177,77.62904982864177,keep
Q3,2025-02-05,06:00,False,-37.90799676715609,-61.7152431554322,50.44811105850857,35.08670894510624,16.337645046934995,keep
Q3,2025-02-05,12:00,False,0.0,0.0,36.378151134367414,52.718727336548795,52.718727336548795,keep
Q3,2025-02-05,18:00,False,0.09019659711559906,-1.732200554436929,14.915605002380545,66.09968116129937,65.75722021228034,keep
Q3,2025-02-06,06:00,False,-41.144139670671805,-62.79895002365811,54.326536687294755,31.05092834120137,1.0800249583553523e-12,keep
Q3,2025-02-06,12:00,False,0.0,0.0,39.17479235868666,4.317673178193047,4.317673178193047,keep
Q3,2025-02-06,18:00,False,0.0,0.0,14.898623033709601,80.3113198382623,80.3113198382623,keep
Q3,2025-02-07,06:00,False,-34.88830556870428,-62.798950023665384,25.752251124583342,31.050928341201427,0.0,keep
Q3,2025-02-07,12:00,False,0.0,0.0,19.524542880777304,0.0,0.0,keep
Q3,2025-02-07,18:00,False,6.063298011819522e-14,0.0,10.6602307858992,0.0,0.0,keep
Q3,2025-02-08,06:00,False,-2.6638109827850243,-4.674234366022574,20.619940984950258,4.354299273644813,0.0,keep
Q3,2025-02-08,12:00,False,-8.37440532755312,-10.668762951539975,16.763825236181045,0.0,0.0,keep
Q3,2025-02-08,18:00,False,5.86770775337373e-14,0.0,10.7879998580235,0.0,0.0,keep
Q3,2025-02-09,06:00,False,-17.090885903413664,-37.605042668103124,51.06304047523159,30.306224251101867,0.024754936692943375,keep
Q3,2025-02-09,12:00,False,0.0,0.0,35.35767891775824,23.179513281410664,23.179513281410664,keep
Q3,2025-02-09,18:00,False,0.0,0.0,14.790731743776844,64.4186210193285,64.4186210193285,keep
Q3,2025-02-10,06:00,False,0.0,0.0,47.99806711562646,0.0,0.0,keep
Q3,2025-02-10,12:00,False,-138.35371312930997,-223.96508844747203,35.113776156555666,221.58150315727312,223.79337578308844,keep
Q3,2025-02-10,18:00,False,0.0,0.0,14.852269237622323,183.34039499088271,183.34039499088271,keep
Q3,2025-02-11,06:00,False,0.0,0.0,48.895001704160684,0.0,0.0,keep
Q3,2025-02-11,12:00,False,0.0,0.0,36.811212415910575,35.059577422925486,35.059577422925486,keep
Q3,2025-02-11,18:00,False,0.0,0.0,14.687050428175269,73.7022053270382,73.7022053270382,keep
Q3,2025-02-12,06:00,False,0.0,0.0,48.88880054629125,0.0,0.0,keep
Q3,2025-02-12,12:00,False,0.0,0.0,35.22707613941383,3.8189928350035416,3.8189928350035416,keep
Q3,2025-02-12,18:00,False,0.0,0.0,14.747256282384097,55.31318985705332,55.31318985705332,keep
Q3,2025-02-13,06:00,False,0.0,0.0,44.87296288567182,0.0,0.0,keep
Q3,2025-02-13,12:00,False,0.0,0.0,32.87585507389012,156.99522012642956,156.99522012642956,keep
Q3,2025-02-13,18:00,False,0.0,0.0,14.888614617967042,133.85697387976154,133.85697387976154,keep
Q3,2025-02-14,06:00,False,-93.2623629864661,-113.75958562085543,22.769065484992236,0.0,2.1032064978498966e-12,keep
Q3,2025-02-14,12:00,False,-16.58281791907251,-22.72460233354286,16.798189485694998,0.0,0.0,keep
Q3,2025-02-14,18:00,False,0.0,0.0,10.869041644630611,0.0,0.0,keep
Q3,2025-02-15,06:00,False,0.0,0.0,21.93187969789863,0.0,0.0,keep
Q3,2025-02-15,12:00,False,0.0,0.0,18.597413514111288,0.0,0.0,keep
Q3,2025-02-15,18:00,False,0.0,0.0,10.540914873010648,0.0,0.0,keep
Q3,2025-02-16,06:00,True,-6.303401910617818,-26.91229283705579,48.222511543818975,115.44278369094366,67.02822759927585,emergency
Q3,2025-02-16,12:00,False,29.642183714085448,14.914614553022785,35.20168481078188,189.51943412653372,206.68582176245332,keep
Q3,2025-02-16,18:00,True,-6.90387228596242,-15.699895947537778,14.550720825566282,240.65312099615835,221.51214576546954,emergency
Q3,2025-02-17,06:00,True,-13.666301428008774,-32.89429763930966,47.537818131146885,79.2996071820678,46.6773177222866,emergency
Q3,2025-02-17,12:00,False,28.395524968926292,10.79366552541037,34.245791841007524,91.29760927958716,133.26428197866244,keep
Q3,2025-02-17,18:00,False,18.599768352863975,2.4206195722665598,14.497352809810735,175.52103024594453,203.23995470728903,keep
Q3,2025-02-18,06:00,True,7.841314909737287,-11.906011938044685,41.393296850474755,93.56916513980025,78.85080436560474,emergency
Q3,2025-02-18,12:00,False,35.87036443634825,12.005764766111952,30.723129783355926,94.40232704889763,112.75680035967537,keep
Q3,2025-02-18,18:00,True,-25.061811651203648,-74.83107607010133,14.538822373605733,301.5243314641549,216.33166566346517,emergency
Q3,2025-02-19,06:00,False,-43.11515965036874,-60.431888714669185,42.6894059420875,0.0,4.005137937666916,keep
Q3,2025-02-19,12:00,False,0.0,0.0,32.00252762785619,164.3652141728944,164.3652141728944,keep
