model,days,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,max_balance_residual_kwh,minimum_storage_kwh,maximum_storage_kwh,accepted_gate_count
Q2固定价日前,334,16865462.109059,0.000000,1817278.718833,18682740.827892,26901388.122241,302386.724309,5383877.256904,4356620.578092,0.000000,1200.000000,10800.000000,0
Q3固定价滚动,334,15343481.952493,1073471.967562,53118.244602,16470072.164658,24681654.873688,8260.815187,5799496.191086,4693271.914780,0.000000,1200.000000,10800.000000,154
Q4-2波动价日前,334,16912084.068297,0.000000,2031468.531152,18943552.599450,27010735.610839,304290.162113,5946811.875187,4812597.618901,0.000000,1200.000000,10800.000000,0
Q4-3波动价滚动,334,15858587.105256,1187920.614948,54720.474570,17101228.194775,24785333.549755,8714.969074,6379329.690846,5162937.049585,0.000000,1200.000000,10800.000000,147
