model,days,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,max_balance_residual_kwh,minimum_storage_kwh,maximum_storage_kwh,accepted_gate_count
Q2,2,98019.76879993538,0.0,90.57658257522871,98110.34538251061,155884.16655261535,17.990374427464758,40647.894738054325,32924.79473782401,1.1368683772161603e-13,1200.0,10800.0,0
Q3,2,98664.54136439276,0.0,2889.76495994446,101554.30632433722,154502.65043864318,542.8611521750776,33532.063519797615,27160.97145103607,1.1368683772161603e-13,1200.0000000000005,10800.0,0
Q4-2,2,97842.11317513451,0.0,92.23123460433199,97934.34440973884,155810.75313839185,17.990374427464758,40277.2775091042,32624.594782374406,1.1368683772161603e-13,1200.0,10800.0,0
Q4-3,2,98876.75393705849,0.0,3194.848131707719,102071.60206876621,154507.98178714886,552.5885176404902,33650.17654962213,27256.64300519393,1.1368683772161603e-13,1200.0000000000014,10800.0,0
Q3-no-update,2,98664.54136439276,0.0,591.3304882295965,99255.87185262235,154502.65043864318,97.0796968106373,38150.65245765714,30902.028490702283,1.1368683772161603e-13,1200.0,10800.0,0
Q4-3-no-update,2,98876.75393705849,0.0,616.1395064447029,99492.89344350318,154507.98178714886,95.8072839460084,38150.65245765714,30902.028490702283,1.1368683772161603e-13,1200.0,10800.0,0
