model,date,release_time,accepted,expected_saving_yuan,bootstrap_lower_yuan,threshold_yuan,old_tail_emergency_kwh,new_tail_emergency_kwh,reason
Q4-3,2025-02-01,06:00,False,0.0,0.0,20.224435490320012,0.0,0.0,keep
Q4-3,2025-02-01,12:00,False,-16.809239241244693,-19.520406860799994,15.47940054679412,0.0,0.0,keep
Q4-3,2025-02-01,18:00,False,6.660979254099177,-4.481501802417181,8.143639010573011,9.030044622132834,10.275868840433475,keep
Q4-3,2025-02-02,06:00,False,-8.731149137020111e-13,-2.7284841053187847e-12,56.546261325622794,0.0,1.1368683772161603e-12,keep
Q4-3,2025-02-02,12:00,False,0.0,0.0,38.98289873478734,85.07904111088965,85.07904111088965,keep
Q4-3,2025-02-02,18:00,False,0.0,0.0,15.465020673521334,91.5351442653888,91.5351442653888,keep
