date,plan_energy_kwh,used_plan_energy_kwh,emergency_energy_kwh,charge_energy_kwh,discharge_energy_kwh,curtail_energy_kwh,storage_start_kwh,storage_end_kwh,plan_cost_yuan,adjustment_cost_yuan,emergency_cost_yuan,total_cost_yuan,forecast_mae_kwh,max_balance_residual_kwh,gate_count,control_projection_kwh
2025-02-01,60254.93686182592,43531.43447240334,0.0,17798.19255051129,14416.535965914145,5771.601955206229,6000.0,6000.0,36020.25622141658,0.0,0.0,36020.25622141658,133.1832774430485,1.1368683772161603e-13,0,197.47594484917403
2025-02-02,95629.22969078945,82679.73099457569,17.990374427464758,22849.70218754304,18508.258771909866,0.0,6000.0,6000.0,61999.51257851881,0.0,90.57658257522871,62090.08916109404,65.42936132831139,1.1368683772161603e-13,0,35.56513967988647
